Crossover MMU,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
General,,,,,,,,,,,,,
2020 Extrusion,FALSE,2020 450mm,4,$7.82,$31.29,,https://www.amazon.com/uxcell-Aluminum-Extrusion-European-Standard/dp/B0DXPWP6ZD/ref=sr_1_11,,,,,,
2020 Extrusion,FALSE,2020 150mm,4,$3.00,$11.99,,https://www.amazon.com/Aluminum-Extrusion-European-Standard-Anodized/dp/B08Y8KTZ2Z/ref=sr_1_4,,,,,,
MGN12 Rail,TRUE,450mm MGN12H,1,$30.99,$0.00,,https://www.amazon.com/MGN12H-Linear-Carriage-Printer-Machines/dp/B0BYV9R64L/ref=sr_1_2_sspa,,,,,,
Mgn12 Rail,FALSE,150mm MGN12C,2,$12.79,$25.58,,https://www.amazon.com/uxcell-Sliding-Carriage-Guideway-Engraving/dp/B0G5XMY856/ref=sr_1_1_sspa,,,,,,
Stepper,TRUE,Nema 17,4,$10.00,$0.00,,,,,,,,
Pulley,TRUE,20t Pulley,2,$2.50,$0.00,,,,,,,,
Pulley,FALSE,16t Pulley,2,$1.40,$2.80,,https://www.amazon.com/WINSINN-Aluminum-Synchronous-Timing-Printer/dp/B077GMR328/ref=sr_1_1,,,,,,
Idler,FALSE,16t Idler,2,$2.40,$4.79,,https://www.amazon.com/Newwish-Idler-Pulley-Printer-Timing/dp/B0CPTDCLF2/ref=sr_1_7,,,,,,
Bearing,TRUE,F695 Bearing,5,$1.00,$0.00,,,,,,,,
BMG gearset,TRUE,BMG gearset,1,$15.00,$0.00,,,,,,,,
Microswitch,TRUE,D2f switch,1,$1.00,$0.00,,,,,,,,
Ball,FALSE,4mm Ball,1,$5.29,$5.29,,https://www.amazon.com/uxcell-Bearing-Balls-Stainless-Precision/dp/B07YKRT82C/ref=sr_1_3,,,,,,
Ptfe Connector,TRUE,Ecas04,1,$0.81,$0.00,,,,,,,,
Magnet,TRUE,6x3mm Magnet,2,$0.35,$0.00,,,,,,,,
PSU,FALSE,LRS--150W 24V,1,$19.14,$19.14,,https://www.amazon.com/LRS-150-24-Switching-Supply-Single-Output/dp/B018RE4CWW/ref=sr_1_2,,,,,,
Mainboard,TRUE,Skr mini e3 v3,,,,,,,,,,,
Pi,TRUE,Arduino Uno Q,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
16 Filament Lanes,,,,,,,,,,,,,
Ptfe Connector,FALSE,Ecas04,20,$0.81,$16.25,,https://www.amazon.com/Pneumatic-Connector-Extruder-Accessories-Replacement/dp/B099NPWSFB/ref=sr_1_2_sspa,,,,,,
Bearing,FALSE,623 Bearing,20,$0.50,$9.99,,https://www.amazon.com/HiPicco-623-2RS-Bearings-Miniature-Pre-Lubricated/dp/B0CH2YXWJN/ref=sr_1_3,,,,,,
Magnet,FALSE,8x3-3mm,40,$0.35,$13.99,,https://www.amazon.com/DIYMAG-Neodymium-Countersunk-Refrigerator-Office-0-32/dp/B09T9181NC/ref=sr_1_8,,,,,,
BHCS,TRUE,M5x10 BHCS,20,$0.35,$0.00,,,,,,,,
T Nut,TRUE,M5 Tnut,20,$0.35,$0.00,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
5 Outputs,,,,,,,,,,,,,
Ptfe Connector,TRUE,Ecas04,5,$0.81,$0.00,,https://www.amazon.com/Pneumatic-Connector-Extruder-Accessories-Replacement/dp/B099NPWSFB/ref=sr_1_2_sspa,,,,,,
Magnet,TRUE,8x3-3mm,5,$0.35,$0.00,,https://www.amazon.com/DIYMAG-Neodymium-Countersunk-Refrigerator-Office-0-32/dp/B09T9181NC/ref=sr_1_8,,,,,,
Magnet,TRUE,6x3mm,10,$0.35,$0.00,,,,,,,,
Resistors,TRUE,1kΩ-10kΩ,5,$0.35,$0.00,,,,,,,,
,,,,,,,,,,,,,
